iter	Passed	Remaining
0	2	2101
1	2	1389
2	3	1135
3	3	992
4	4	912
5	5	852
6	5	817
7	6	786
8	6	755
9	7	752
10	8	734
11	8	719
12	9	701
13	9	683
14	10	667
15	10	655
16	11	646
17	11	636
18	12	630
19	12	621
20	13	618
21	13	621
22	14	627
23	15	637
24	16	631
25	16	625
26	17	620
27	17	617
28	18	619
29	19	617
30	19	614
31	20	616
32	20	612
33	21	610
34	21	606
35	22	604
36	23	603
37	23	602
38	24	599
39	24	598
40	25	597
41	26	594
42	26	592
43	27	588
44	27	588
45	28	585
46	29	593
47	30	596
48	30	594
49	31	594
50	32	598
51	32	598
52	33	597
53	34	596
54	34	595
55	35	595
56	35	592
57	36	591
58	37	590
59	37	588
60	38	585
61	38	586
62	39	584
63	39	582
64	40	580
65	40	578
66	41	575
67	41	573
68	42	572
69	42	571
70	43	573
71	44	575
72	45	574
73	45	573
74	46	572
75	47	572
76	47	572
77	48	570
78	48	569
79	49	569
80	50	568
81	50	566
82	50	562
83	51	560
84	51	558
85	52	556
86	52	554
87	53	553
88	53	551
89	54	550
90	54	548
91	55	546
92	55	544
93	56	543
94	57	543
95	57	542
96	58	547
97	59	546
98	59	545
99	60	545
100	61	546
101	62	548
102	62	547
103	63	547
104	64	547
105	64	547
106	66	553
107	67	553
108	67	551
109	68	550
110	68	549
111	69	548
112	69	547
113	70	546
114	71	549
115	72	551
116	73	554
117	74	553
118	74	552
119	75	551
120	75	551
121	76	549
122	76	548
123	77	547
124	78	546
125	78	545
126	79	543
127	79	541
128	80	540
129	80	539
130	81	538
131	81	537
132	82	536
133	82	534
134	83	533
135	83	532
136	84	531
137	84	530
138	85	530
139	86	530
140	86	529
141	87	528
142	88	527
143	88	526
144	89	525
145	89	524
146	90	523
147	90	522
148	91	521
149	91	520
150	92	519
151	92	518
152	93	516
153	93	515
154	94	516
155	95	516
156	95	514
157	96	514
158	97	513
159	97	512
160	97	510
161	98	509
162	99	508
163	100	509
164	100	511
165	102	513
166	102	511
167	103	511
168	103	510
169	104	509
170	105	511
171	106	511
172	106	510
173	107	509
174	107	509
175	108	508
176	109	507
177	109	506
178	110	505
179	110	505
180	111	504
181	112	503
182	112	502
183	113	501
184	113	500
185	114	499
186	114	499
187	115	500
188	116	500
189	117	499
190	117	498
191	118	497
192	118	497
193	119	496
194	120	495
195	120	495
196	121	494
197	121	493
198	122	492
199	122	491
200	124	493
201	124	491
202	125	490
203	125	490
204	126	489
205	126	488
206	127	487
207	127	487
208	128	486
209	129	485
210	130	486
211	130	486
212	131	485
213	132	484
214	132	484
215	133	484
216	133	483
217	134	482
218	135	481
219	135	480
220	136	480
221	136	479
222	137	478
223	137	477
224	138	476
225	138	475
226	139	474
227	139	473
228	140	472
229	140	471
230	141	470
231	141	469
232	142	468
233	143	468
234	143	467
235	144	466
236	144	466
237	145	466
238	146	466
239	146	465
240	147	465
241	148	464
242	148	463
243	149	463
244	150	462
245	150	461
246	151	460
247	151	460
248	152	459
249	152	457
250	153	456
251	153	455
252	154	454
253	154	454
254	155	453
255	155	452
256	156	451
257	156	450
258	157	450
259	157	449
260	158	449
261	159	449
262	160	448
263	160	447
264	161	447
265	161	446
266	162	445
267	163	445
268	163	444
269	164	444
270	164	443
271	165	442
272	165	441
273	166	440
274	166	440
275	167	439
276	167	438
277	168	437
